name,year,moto_type,place,price,volume,distance,fuel,engine_type
Suzuki RF 400R,1996,Спортивно-туристический мотоцикл,Черногорск,240000,400,66000,бензин,4-тактный
OXO LITE 250 X,2025,Эндуро,Краснодар,105000,250,2500,бензин,4-тактный
Kawasaki Ninja ZX-9R,1998,Спортивный мотоцикл,Хабаровск,420000,900,63000,бензин,4-тактный
Yamaha TT-R 250,1998,Эндуро,Владивосток,295000,249,1,бензин,4-тактный
Harley-Davidson Night Rod VRSCD,2008,Классический мотоцикл,Владивосток,1150000,1300,7730,бензин,4-тактный
Kawasaki KLX 110,2017,Кроссовый мотоцикл,Новосибирск,239000,112,108,бензин,4-тактный
Kayo Basic YX140,2017,Питбайк,Урай,60000,140,1500,бензин,4-тактный
Jebe Jebe,2025,Кроссовый мотоцикл,Лянтор,135000,300,2000,бензин,4-тактный
Darex ALGA 300,2024,Эндуро,Казань,120000,300,2700,бензин,4-тактный
Regulmoto Sport-003 PR,2018,Эндуро,Комсомольск-на-Амуре,150000,250,250,бензин,4-тактный
Suzuki GS 400 S,2003,Спортивно-туристический мотоцикл,Кяхта,250000,400,22000,бензин,4-тактный
Ducati Monster S4R,2004,Классический мотоцикл,Мариинск,425000,996,37800,бензин,4-тактный
Honda CB 400SF VTEC-1,2000,Классический мотоцикл,Краснодар,340000,400,51000,бензин,4-тактный
Yamaha MT-09 Tracer,2015,Туристический мотоцикл,Тобольск,700000,900,60000,бензин,4-тактный
BMW K 100,2025,Кастомный мотоцикл,Москва,890000,1000,2000,бензин,4-тактный
Qingqi QM250,2007,Чоппер,Раздольное,170000,250,56000,бензин,4-тактный
Motoland Dakar ST,2020,Эндуро,Канск,152000,300,3000,бензин,4-тактный
Regulmoto CR-Z 300,2025,Эндуро,Мыски,220000,300,2000,бензин,4-тактный
Yamaha YZF-R25,2022,Спортивный мотоцикл,Хабаровск,650000,249,100,бензин,4-тактный
Motoland Enduro 250 ST,2024,Эндуро,Хабаровск,150000,250,1,бензин,4-тактный
Honda CB 400 SF VТЕС,2001,Классический мотоцикл,Новосибирск,399000,400,10500,бензин,4-тактный
Kayo Evolution YX140EM,2024,Питбайк,Новокузнецк,85000,140,1000,бензин,4-тактный
SSSR Core 125,2023,Питбайк,Уфа,55000,125,500,бензин,2-тактный
Ducati Monster 1200,2015,Стритфайтер,Москва,990000,1200,33000,бензин,4-тактный
Wels CBR 300,2012,Классический мотоцикл,Миллерово,90000,250,7000,бензин,4-тактный
FXmoto 300 ROMANIAC,2024,Кроссовый мотоцикл,Черноморский,150000,300,1400,бензин,4-тактный
Regulmoto Five 125,2023,Питбайк,Криводановка,76999,125,300,бензин,4-тактный
Vento 125 Classic,2023,Питбайк,Катав-Ивановск,55000,125,1000,бензин,4-тактный
Suzuki RM,1997,Кроссовый мотоцикл,Краснозёрское,177000,250,777,бензин,2-тактный
Bajaj Dominar 400,2019,Классический мотоцикл,Кондрово,329000,400,24500,бензин,4-тактный
Motoland Apex 125,2024,Питбайк,Гусь-Хрустальный,75000,125,46,бензин,4-тактный
Honda Rebel 500,2017,Круизер,Новосибирск,640000,471,13000,бензин,4-тактный
Racer RC250GY-C2K K2,2023,Эндуро,Новокузнецк,100000,250,3700,бензин,4-тактный
Honda CRF 250R,2004,Кроссовый мотоцикл,Дунай,235000,250,1000,бензин,4-тактный
Racer RC300-GY8A K2,2024,Эндуро,Верх-Суетка,180000,300,215,бензин,4-тактный
Progasi Race 300,2025,Эндуро,Иркутск,280000,300,30,бензин,4-тактный
Yamaha XV1900 RAIDER,2015,Круизер,Владивосток,1500000,1900,14001,бензин,4-тактный
Motoland CRF 250 Enduro,2021,Эндуро,Барнаул,110000,250,1000,бензин,4-тактный
Kawasaki Z 1000,2008,Стритфайтер,Красноярск,530000,953,40000,бензин,4-тактный
Racer RC150-23,2024,Классический мотоцикл,Благовещенка,100000,149,2914,бензин,4-тактный
Harley-Davidson Sport Glide FXRT,2022,Круизер,Новосибирск,2950000,1745,1,бензин,4-тактный
Yamaha TDM 900,2002,Туристический мотоцикл,Пермь,430000,897,43000,бензин,4-тактный
Honda CBR,1997,Спортивный мотоцикл,Биробиджан,350000,600,48000,бензин,4-тактный
С.МОТО KXD 607,2024,Классический мотоцикл,Кармаскалы,58000,110,3000,бензин,4-тактный
Triumph Street Scrambler,2018,Классический мотоцикл,Новосибирск,970000,900,10300,бензин,4-тактный
Avantis A7 Lux,2024,Эндуро,Зыково,220000,300,2000,бензин,4-тактный
Apollo RFZ Start 125L,2021,Питбайк,Яшкино,90000,125,100,бензин,4-тактный
Progasi Palma 250,2024,Кроссовый мотоцикл,Кемерово,145000,250,500,бензин,4-тактный
Yamaha XVZ 1300,2007,Круизер,Владивосток,650000,1300,9800,бензин,4-тактный
Xmotos Racer 250 PRO,2020,Эндуро,Барнаул,120000,250,2000,бензин,4-тактный
Honda CBR 600RR,2013,Спортивный мотоцикл,Благовещенск,830000,600,49000,бензин,4-тактный
Honda CBR 1000RR Fireblade,2004,Спортивный мотоцикл,Канск,560000,1000,40000,бензин,4-тактный
Honda CRF 1100L Africa Twin,2020,Турэндуро,Уфа,1349000,1100,64000,бензин,4-тактный
BSE Z10,2023,Кроссовый мотоцикл,Турочак,220000,250,3000,бензин,4-тактный
Regulmoto Crosstrec 300,2025,Эндуро,Комсомольск-на-Амуре,270000,300,1300,бензин,4-тактный
Honda CBR 900RR Fireblade,1995,Спортивный мотоцикл,Камышлов,430000,900,39000,бензин,4-тактный
Kayo T2 250 MX,2019,Эндуро,Красноярск,120000,250,5000,бензин,4-тактный
Иж 5 ПЛАНЕТА,1986,Классический мотоцикл,Бодайбо,200000,350,2000,бензин,2-тактный
Ducati Diavel,2014,Круизер,Москва,800000,1198,56000,бензин,4-тактный
Racer Panther RC300-GY8X,2019,Эндуро,Нижнеудинск,125000,300,3500,бензин,4-тактный
Honda CMX 1100,2022,Круизер,Владивосток,1175000,1100,4914,бензин,4-тактный
Kayo BASIC YX140 KRZ,2020,Питбайк,Советск,65000,140,7000,бензин,4-тактный
Kawasaki Z1000-2,2010,Стритфайтер,Находка,550000,1000,39,бензин,4-тактный
Yamaha TT-R 250 Open Enduro,1995,Эндуро,Владивосток,230000,249,21000,бензин,4-тактный
SYCMCC 250cc,2025,Эндуро,Октябрьская,85000,250,10000,бензин,4-тактный
Racer Panther Lite RC250GY-C2A,2019,Эндуро,Бийск,105000,250,2400,бензин,4-тактный
SYCMCC 250,2024,Эндуро,Ессентуки,104000,300,1,бензин,4-тактный
Suzuki GSR 250 Inazuma,2015,Стритфайтер,Владивосток,275000,248,14165,бензин,4-тактный
Ducati Scrambler,2016,Стритфайтер,Омск,630000,803,20800,бензин,4-тактный
Yamaha TDM 900,2005,Туристический мотоцикл,Барнаул,500000,900,48600,бензин,4-тактный
Regulmoto ZR 250,2021,Эндуро,Севастополь,105000,250,1000,бензин,4-тактный
Урал 8 103 40,2024,Туристический мотоцикл,Бабушкин,80000,350,10,бензин,4-тактный
Yamaha MT-09,2016,Спортивно-туристический мотоцикл,Челябинск,830000,850,31000,бензин,4-тактный
Иж Планета 3-02,1972,Классический мотоцикл,Таштагол,41000,346,24000,бензин,2-тактный
BSE M2,2021,Эндуро,Киров,220000,250,2500,бензин,4-тактный
Racer Panther RC250GY-C2,2024,Эндуро,Бийск,110000,250,2000,бензин,4-тактный
Suzuki SV 650S,2005,Спортивно-туристический мотоцикл,Екатеринбург,380000,650,35000,бензин,4-тактный
Regulmoto 250 01,2024,Эндуро,Удачный,200000,250,237,бензин,4-тактный
BMW R 1250 GS Adventure,2021,Турэндуро,Москва,2050000,1254,19500,бензин,4-тактный
Иж 5 ПЛАНЕТА,1993,Классический мотоцикл,Кострома,65000,350,12000,бензин,2-тактный
Иж Юпитер 5,1985,Классический мотоцикл,Омск,90000,347,5000,бензин,2-тактный
Harley-Davidson Sportster Forty-Eight XL1200X,2011,Чоппер,Владивосток,950000,1200,17000,бензин,4-тактный
Урал К-750,1990,Кастомный мотоцикл,Иркутск,250000,750,250,бензин,4-тактный
Kawasaki EN650 Vulcan S,2020,Круизер,Бийск,999999,650,11000,бензин,4-тактный
Honda CMX 250,1990,Чоппер,Ангарск,170000,250,14499,бензин,4-тактный
Baltmotors Motard 200,2011,Мотард,Дивногорск,100000,200,1500,бензин,4-тактный
Урал ИМЗ 8.103-10,1988,Классический мотоцикл,Тулун,120000,650,12254,бензин,4-тактный
Racer Alpha RC50,2017,Классический мотоцикл,Новоалтайск,50000,49,2980,бензин,4-тактный
Yamaha XVS 400,2010,Чоппер,Омск,475000,400,16000,бензин,4-тактный
Kawasaki Ninja ZX-14,2006,Спортивный мотоцикл,Новосибирск,870000,1400,31400,бензин,4-тактный
Motoland TCX 125,2021,Питбайк,Новокузнецк,60000,125,1000,бензин,4-тактный
Ataki Start YX125,2022,Питбайк,Бисерть,60000,125,20000,бензин,4-тактный
Racer Panther RC300-GY8X,2024,Эндуро,Черемхово,170000,270,1000,бензин,4-тактный
Kawasaki Ninja 650R,2017,Спортивно-туристический мотоцикл,Магадан,400000,650,22910,бензин,4-тактный
Racer RC250GY-C2K K2,2024,Эндуро,Нерчинск,110000,250,5000,бензин,4-тактный
Kawasaki VZ750,2012,Круизер,Москва,450000,748,98000,бензин,4-тактный
Kawasaki Ninja ZX-6R,1999,Спортивный мотоцикл,Киселёвск,380000,600,64000,бензин,4-тактный
Yamaha FZ 6,2008,Спортивно-туристический мотоцикл,Оренбург,450000,600,52000,бензин,4-тактный
Racer Skyway RC300-CS,2024,Спортивный мотоцикл,Иркутск,180000,270,172,бензин,4-тактный
Yamaha XJ6 SA Diversion,2011,Спортивно-туристический мотоцикл,Зерноград,600000,600,52000,бензин,4-тактный
Regulmoto CR-Z 300,2024,Эндуро,Киров,190000,300,3400,бензин,4-тактный
Racer RC150-23 Tiger,2023,Классический мотоцикл,Свирск,100000,150,5000,бензин,4-тактный
Bajaj DOMINAR D 400,2023,Классический мотоцикл,Северск,400000,373,6000,бензин,4-тактный
Yamaha Roadstar 1600,2000,Круизер,Тюмень,600000,1600,30000,бензин,4-тактный
Honda CB 1000R,2009,Стритфайтер,Санкт-Петербург,599000,998,58000,бензин,4-тактный
Kawasaki KLX 250,2004,Эндуро,Сива,220000,300,14000,бензин,4-тактный
Yamaha Roadliner,2006,Круизер,Москва,850000,1900,36000,бензин,4-тактный
Другая Другая,2023,Питбайк,Стерлитамак,45000,125,113,бензин,4-тактный
Racer Panther RC200GY-C2,2024,Эндуро,Усть-Кут,95000,200,860,бензин,4-тактный
Восход 3М,1990,Трайк (трицикл),Иркутск,69000,175,10000,бензин,2-тактный
Sharmax PowerMax 190,2023,Питбайк,Емельяново,100000,140,1500,бензин,4-тактный
BSE Kids 50e,2022,Питбайк,Екатеринбург,50000,60,50,бензин,4-тактный
Regulmoto Five 125,2021,Питбайк,Курган,65000,125,120,бензин,4-тактный
Kawasaki VN Vulcan 400,1995,Чоппер,Владивосток,220000,400,19000,бензин,4-тактный
Yamaha FJR 1300,2001,Спортивно-туристический мотоцикл,Благовещенск,480000,1300,42000,бензин,4-тактный
Suzuki Bandit GSF 600 S,2004,Спортивно-туристический мотоцикл,Новочеркасск,305000,600,58000,бензин,4-тактный
Regulmoto Crosstrec 300,2024,Эндуро,Благовещенск,250000,300,1500,бензин,4-тактный
Motoland RMZ250,2021,Кроссовый мотоцикл,Воронеж,130000,300,100,бензин,4-тактный
Honda CBF 600S,2008,Спортивно-туристический мотоцикл,Ульяновск,500000,599,26200,бензин,4-тактный
Альфамото Korsar YM250-A2,2015,Классический мотоцикл,Первомайский,25000,72,5000,бензин,4-тактный
Ducati Monster 696,2009,Стритфайтер,Омск,460000,696,24000,бензин,4-тактный
Motoland RZ200,2022,Кроссовый мотоцикл,Кемерово,100000,200,1000,бензин,4-тактный
Roliz Sport-007,2022,Эндуро,Сковородино,150000,300,3948,бензин,4-тактный
Yamaha Super Tenere 750,1991,Спортивно-туристический мотоцикл,Курган,320000,750,86000,бензин,4-тактный
Kawasaki ZZR 1100D,1993,Спортивно-туристический мотоцикл,Красноярск,295000,1052,70000,бензин,4-тактный
Yamaha XVZ 13,1989,Туристический мотоцикл,Юрга,330000,1300,92000,бензин,4-тактный
Yamaha TT-R 250 Raid,1996,Эндуро,Благовещенск,250000,250,15000,бензин,4-тактный
Harley-Davidson SТRЕЕТ XG750,2017,Круизер,Кемерово,690000,750,1600,бензин,4-тактный
Honda CB400 SFVTEC,2003,Спортивно-туристический мотоцикл,Артём,350000,400,39000,бензин,4-тактный
KTM 950 SM R,2007,Турэндуро,Сочи,480000,950,26000,бензин,4-тактный
Honda CBR 600RR,2011,Спортивный мотоцикл,Нытва,680000,600,60000,бензин,4-тактный
Racer Racer,2017,Туристический мотоцикл,Дальнегорск,170000,250,3000,бензин,4-тактный
Suzuki SV 1000,2005,Спортивный мотоцикл,Благовещенск,470000,1000,1000,бензин,4-тактный
KTM Freeride 250 R,2016,Эндуро,Владивосток,499000,250,960,бензин,2-тактный
Honda CRF 1100L Africa Twin,2020,Туристический мотоцикл,Владивосток,1750000,1100,1445,бензин,4-тактный
BMW R 1150 GS,2002,Турэндуро,Благовещенск,425000,1150,78061,бензин,4-тактный
SYCMCC 250cc,2025,Эндуро,Новосибирск,125000,250,100,бензин,4-тактный
Yamaha FZ6S2,2007,Спортивно-туристический мотоцикл,Дальнее Константиново,390000,600,73500,бензин,4-тактный
STELS 200,2013,Кроссовый мотоцикл,Тобольск,70000,200,27000,бензин,2-тактный
Ataki SX150,2024,Питбайк,Серафимовский,95000,150,195,бензин,4-тактный
Motoland XT250 HS,2023,Эндуро,Пермь,150000,250,6029,бензин,4-тактный
Kayo Basic TT125,2024,Питбайк,Воскресенск,70000,140,100,бензин,4-тактный
Honda Steed 400,1998,Чоппер,Санкт-Петербург,400000,400,30000,бензин,4-тактный
Yamaha MT-09,2016,Стритфайтер,Москва,920000,850,30600,бензин,4-тактный
Honda Shadow 400 Slasher,2001,Чоппер,Петропавловск-Камчатский,400000,400,21000,бензин,4-тактный
Yamaha FJR 1300AS,2008,Спортивно-туристический мотоцикл,Тамбовка,470000,1298,90000,бензин,4-тактный
Honda NC 750XD,2017,Классический мотоцикл,Владивосток,875000,750,11514,бензин,4-тактный
Yamaha FZ6N,2008,Стритфайтер,Копейск,385000,600,45000,бензин,4-тактный
Omaks LK180GY-2,2020,Классический мотоцикл,Красное,33001,180,9000,бензин,4-тактный
MV Agusta Brutale 1090RR,2016,Стритфайтер,Новосибирск,735000,1078,20000,бензин,4-тактный
Regulmoto T-Leopard 300,2023,Спортивный мотоцикл,Починок,220000,300,99,бензин,4-тактный
Darex Timer 300,2025,Эндуро,Казань,150000,300,700,бензин,4-тактный
Yamaha TDM 900,2002,Туристический мотоцикл,Владивосток,350000,897,87700,бензин,4-тактный
Урал 8 103 10,1988,Классический мотоцикл,Кемерово,55000,1000,10000,бензин,4-тактный
Урал 8 103 10,1994,Классический мотоцикл,Искитим,99000,650,18293,бензин,4-тактный
Racer RC150-23 Tiger,2001,Классический мотоцикл,Урульга,60000,150,10000,бензин,4-тактный
BMW R 1150 GS,1999,Турэндуро,Ангарск,495000,1150,90000,бензин,4-тактный
Минск C 125,1984,Классический мотоцикл,Апшеронск,65000,125,8300,бензин,2-тактный
Минск Минск,1979,Классический мотоцикл,Красноярск,90000,125,2000,бензин,2-тактный
BMW R 1200 GS,2012,Турэндуро,Стрежевой,850000,1200,104000,бензин,4-тактный
Suzuki SV 650,2021,Стритфайтер,Омск,620000,650,10000,бензин,4-тактный
Regulmoto Discovery,2023,Туристический мотоцикл,Ливны,350000,400,7000,бензин,4-тактный
Harley-Davidson Sportster 1200 Roadster XL1200R,2006,Чоппер,Омск,600000,1200,55000,бензин,4-тактный
Motoland TCX 125E,2024,Питбайк,Владимир,69999,125,1000,бензин,4-тактный
Racer RC300-GY8X,2023,Эндуро,Чита,150000,300,663,бензин,4-тактный
Днепр МТ-9,1980,Классический мотоцикл,Иркутск,110000,1200,24,бензин,4-тактный
Yamaha FZ-1 FAZER,2005,Спортивно-туристический мотоцикл,Рязань,520000,998,94426,бензин,4-тактный
Урал М-62,1992,Классический мотоцикл,Ижморский,22000,60,1000,бензин,2-тактный
BMW F 800 R,2017,Стритфайтер,Рубцовск,850000,800,10264,бензин,4-тактный
Racer RC300-GY8V XSR,2024,Эндуро,Черепаново,135000,270,2500,бензин,4-тактный
Regulmoto Majesty,2024,Классический мотоцикл,Владивосток,150000,250,2000,бензин,4-тактный
Honda ST 1100,1994,Спортивно-туристический мотоцикл,Кемерово,350000,1100,28000,бензин,4-тактный
Triumph Tiger 800,2014,Турэндуро,Москва,695000,800,55517,бензин,4-тактный
Racer RC110N K,2020,Классический мотоцикл,Иркутск,70000,107,2560,бензин,4-тактный
Regulmoto Athlete Pro,2024,Эндуро,Покровск,180000,300,4000,бензин,4-тактный
BSE Z3,2023,Эндуро,Новосибирск,180000,250,1741,бензин,4-тактный
Yamaha YZF-R3,2016,Спортивный мотоцикл,Якутск,450000,320,14000,бензин,4-тактный
BRZ X5M Black Edition,2023,Эндуро,Курск,135000,249,4500,бензин,4-тактный
Honda VF 250 Magna,1994,Чоппер,Николаевка,300000,250,58600,бензин,4-тактный
Husqvarna TE 300,2025,Эндуро,Павловск,115000,300,1500,бензин,4-тактный
Урал 6736,1988,Классический мотоцикл,Пермь,20000,650,6000,бензин,4-тактный
Honda CBR 250R,2010,Спортивный мотоцикл,Сковородино,210000,250,26000,бензин,4-тактный
Мотоальфа A-1,2022,Эндуро,Усолье-Сибирское,140000,250,4000,бензин,4-тактный
BSE Z9,2024,Эндуро,Новосибирск,175000,300,940,бензин,4-тактный
Suzuki RF 400R,1994,Спортивно-туристический мотоцикл,Новокузнецк,200000,400,53325,бензин,4-тактный
Honda VFR 800A,2006,Спортивно-туристический мотоцикл,Санкт-Петербург,630000,800,27000,бензин,4-тактный
Wels ZT250-XT,2014,Эндуро,Бронницы,110000,250,8000,бензин,4-тактный
Harley-Davidson Dyna Fat Bob,2018,Круизер,Новосибирск,1850000,1745,6700,бензин,4-тактный
Yamaha XVS 250,2005,Чоппер,Омск,325000,250,47000,бензин,4-тактный
Suzuki SV 400,2001,Классический мотоцикл,Хабаровск,160000,400,39000,бензин,4-тактный
Avantis FX 250 Basic,2020,Эндуро,Миасс,110000,250,2600,бензин,4-тактный
Yamaha V-Max 1200,1986,Круизер,Бердск,450000,1200,61000,бензин,4-тактный
KTM 200 Duke,2013,Стритфайтер,Владивосток,200000,199,1,бензин,4-тактный
Motoland Apex 125,2025,Питбайк,Черепаново,45000,125,50,бензин,4-тактный
Motoland MX 125,2019,Мотард,Ульяновск,110000,125,4000,бензин,4-тактный
Honda Bros 400,1996,Классический мотоцикл,Фокино,230000,400,68311,бензин,4-тактный
STELS Flame 200,2014,Классический мотоцикл,Магнитогорск,95000,200,27000,бензин,4-тактный
Bajaj Dominar 250,2022,Стритфайтер,Дзержинск,300000,250,850,бензин,4-тактный
Suzuki Boulevard C90,2007,Круизер,Владивосток,645000,1500,35310,бензин,4-тактный
Racer Panther ZWC2-300X,2025,Эндуро,Волгодонск,120000,300,5000,бензин,4-тактный
Иж П-4K,1985,Классический мотоцикл,Южноуральск,100000,350,8000,бензин,2-тактный
Kayo Basic TT125EM,2024,Питбайк,Санкт-Петербург,90000,125,2000,бензин,4-тактный
Honda VFR 800,2002,Спортивно-туристический мотоцикл,Новосибирск,490000,800,36000,бензин,4-тактный
Regulmoto Spitfire Pro,2024,Питбайк,Владивосток,99000,140,10,бензин,4-тактный
Kayo K1 250 MX,2024,Эндуро,Улан-Удэ,130000,250,1500,бензин,4-тактный
BMW K 1200 LT,2004,Туристический мотоцикл,Москва,660000,1171,28000,бензин,4-тактный
Honda XR 230,2007,Эндуро,Сосновоборск,230000,223,27000,бензин,4-тактный
Suzuki GSF 400 Bandit,1995,Классический мотоцикл,Красноярск,260000,400,32000,бензин,4-тактный
Kawasaki EN650,2009,Спортивный мотоцикл,Ковров,400000,650,56000,бензин,4-тактный
GR GR500,2023,Турэндуро,Краснодар,575000,500,3000,бензин,4-тактный
Suzuki GSX 250R,2018,Спортивный мотоцикл,Владивосток,289000,248,16479,бензин,4-тактный
Cronus Leader 200,2014,Эндуро,Нижний Куранах,25000,250,5000,бензин,4-тактный
BRZ X4,2022,Питбайк,Чемал,45000,125,999,бензин,4-тактный
Yamaha 250,1992,Кроссовый мотоцикл,Бийск,150000,250,100000,бензин,4-тактный
Honda VFR 800,2012,Спортивно-туристический мотоцикл,Белово,810000,800,32800,бензин,4-тактный
BMW F 800 R,2015,Стритфайтер,Омск,555000,800,11000,бензин,4-тактный
Zongshen Zongshen,2025,Питбайк,Новосибирск,95000,150,1,бензин,4-тактный
Victory Vision,2009,Туристический мотоцикл,Волжский,899999,1700,130000,бензин,4-тактный
Suzuki GSF 1200S Bandit,2006,Спортивно-туристический мотоцикл,Северск,420000,1156,48500,бензин,4-тактный
Regulmoto Legend 300,2024,Эндуро,Хабаровск,260000,300,3800,бензин,4-тактный
Kawasaki 400R NINJA,2012,Спортивный мотоцикл,Советский,400000,400,32500,бензин,4-тактный
Racer Ranger RC300-GY8,2024,Турэндуро,Дзержинское,165000,300,1000,бензин,4-тактный
Kawasaki Ninja ZX-6R,2014,Спортивный мотоцикл,Хабаровск,700000,636,25000,бензин,4-тактный
Kews K16 NB300,2025,Эндуро,Москва,200000,300,10,бензин,4-тактный
BMW F 650 GS,2004,Турэндуро,Черемхово,480000,650,46000,бензин,4-тактный
Roliz Sport-003,2024,Эндуро,Белово,150000,250,1200,бензин,4-тактный
Yamaha XVS 1100,2004,Круизер,Благовещенск,525525,1100,35000,бензин,4-тактный
Honda CBR 600RR,2005,Спортивный мотоцикл,Спасск-Дальний,540000,599,39000,бензин,4-тактный
Иж 5 ПЛАНЕТА,1988,Классический мотоцикл,Нерюнгри,55000,350,55555,бензин,2-тактный
Suzuki Boulevard M90,2013,Круизер,Чугуевка,1250000,1500,14000,бензин,4-тактный
Suzuki Djebel 200,1998,Эндуро,Барнаул,189000,200,23000,бензин,4-тактный
Honda NC 750X,2015,Туристический мотоцикл,Великий Новгород,600000,750,30000,бензин,4-тактный
Kawasaki ZXR 750R,1995,Спортивный мотоцикл,Киров,135000,750,81000,бензин,4-тактный
Boom Trikes Low Rider,2006,Трайк (трицикл),Владикавказ,3800000,1700,23000,бензин,4-тактный
Yamaha XVZ 1300,2005,Круизер,Иркутск,650000,1300,118000,бензин,4-тактный
Ducati Monster 1100 Evo,2013,Стритфайтер,Владивосток,650000,1100,16000,бензин,4-тактный
Honda CBR 650F,2019,Спортивно-туристический мотоцикл,Иркутск,820000,650,13500,бензин,4-тактный
Днепр 11,1986,Классический мотоцикл,Симферополь,30000,750,1000000,бензин,4-тактный
Xmotos Racer 250 PRO,2022,Эндуро,Северск,120000,250,1400,бензин,4-тактный
GR GR-X YX125EM,2024,Питбайк,Смоленск,79999,125,1000,бензин,4-тактный
Procida CB250D,2024,Эндуро,Гаврилов Посад,95000,250,2500,бензин,4-тактный
Suzuki RF 400,1996,Спортивный мотоцикл,Севск,260000,400,67607,бензин,4-тактный
Regulmoto Legend 300,2023,Эндуро,Райчихинск,250000,300,4000,бензин,4-тактный
Sharmax Motors Sport 250,2024,Эндуро,Санкт-Петербург,140000,250,10000,бензин,4-тактный
Honda AFRICA TWIN XRV750,2000,Турэндуро,Пятигорск,453000,742,29314,бензин,4-тактный
Suzuki GSR 400,2009,Стритфайтер,Хабаровск,350000,400,40000,бензин,4-тактный
ABM X-moto SX250,2015,Стритфайтер,Томск,70000,250,10000,бензин,4-тактный
Yamaha FZ,2009,Спортивно-туристический мотоцикл,Пятигорск,230000,1000,22000,бензин,4-тактный
Regulmoto Holeshot,2024,Эндуро,Сысерть,200000,300,1100,бензин,4-тактный
Regulmoto Seven Medalist Pro,2022,Питбайк,Кемерово,70000,140,350,бензин,4-тактный
Voge 525R,2023,Классический мотоцикл,Мошково,450000,500,11000,бензин,4-тактный
Иж Юпитер 5,1992,Классический мотоцикл,Дегтярск,69000,350,1000,бензин,2-тактный
Racer Fighter RC250CK-N,2014,Спортивный мотоцикл,Томск,90000,250,4000,бензин,4-тактный
Harley-Davidson Street Glide FLHX,2005,Круизер,Чебоксары,650000,1450,60000,бензин,4-тактный
BMW R 1100 GS,1999,Туристический мотоцикл,Красноярск,385000,1085,80996,бензин,4-тактный
BSE Z10,2021,Эндуро,Емельяново,150000,250,800,бензин,4-тактный
Kawasaki Z1000 АВS,2019,Стритфайтер,Петропавловск-Камчатский,1400000,1000,34000,бензин,4-тактный
GR GR-X YX140EM,2022,Питбайк,Уварово,95000,140,2000,бензин,4-тактный
GR GR8,2023,Эндуро,Красноярск,390000,300,500,бензин,2-тактный
BMW F 800 GT,2013,Спортивно-туристический мотоцикл,Санкт-Петербург,620000,800,42412,бензин,4-тактный
Suzuki Bandit GSF 600 S,2001,Классический мотоцикл,Сергиев Посад,340000,600,29000,бензин,4-тактный
Honda CBR 600RR,2006,Спортивный мотоцикл,Кемерово,400000,599,49000,бензин,4-тактный
Sharmax PowerMax 145,2025,Питбайк,Сургут,95000,125,1300,бензин,4-тактный
Ducati Monster 1100 Evo,2013,Стритфайтер,Санкт-Петербург,1150000,1079,4078,бензин,4-тактный
Урал M67-36,1986,Классический мотоцикл,Большой Камень,50000,650,7777,бензин,4-тактный
Suzuki GSX S750,2020,Стритфайтер,Тюмень,1100000,750,24000,бензин,4-тактный
Kawasaki KDX 200,1992,Эндуро,Ступино,180000,200,40000,бензин,2-тактный
Honda CRF 450R,2020,Кроссовый мотоцикл,Уссурийск,190000,450,30,бензин,4-тактный
Yamaha YZ 250FX,2019,Эндуро,Спасск-Дальний,490000,250,148,бензин,4-тактный
Kayo Basic TT140,2023,Питбайк,Искитим,35000,140,99999,бензин,4-тактный
Honda CBR 400RR,2021,Спортивный мотоцикл,Новосибирск,750000,400,6000,бензин,4-тактный
KTM 390 Duke,2022,Стритфайтер,Новосибирск,590000,390,7000,бензин,4-тактный
SYCMCC SYC300-11,2025,Эндуро,Барнаул,110000,300,100,бензин,4-тактный
VMC (Vento) 125,2024,Питбайк,Пермь,53999,125,99,бензин,4-тактный
Harley-Davidson FXDC,2008,Круизер,Япония → Санкт-Петербург,566000,1580,29636,бензин,4-тактный
Harley-Davidson Street,2014,Круизер,Барнаул,499000,750,8500,бензин,4-тактный
Triumph Street Triple,2008,Стритфайтер,Япония → Санкт-Петербург,360000,675,21800,бензин,4-тактный
Honda VFR 800 VFR800X,2013,Спортивно-туристический мотоцикл,Новосибирск,775000,800,29264,бензин,4-тактный
Yamaha FZ 1,2007,Спортивно-туристический мотоцикл,Новосибирск,625000,1000,35176,бензин,4-тактный
Yamaha BOLT 950,2014,Чоппер,Япония → Санкт-Петербург,640000,950,28786,бензин,4-тактный
KTM 390 Duke,2018,Стритфайтер,Япония → Владивосток,365000,390,30953,бензин,4-тактный
Harley-Davidson Street 750 XG750,2016,Круизер,Барнаул,650000,750,16684,бензин,4-тактный
Suzuki BANDIT 1250F АВS,2015,Спортивно-туристический мотоцикл,Барнаул,680000,1254,35000,бензин,4-тактный
Днепр КМЗ 8.157.01,1976,Классический мотоцикл,Чита,12000,750,90000,бензин,4-тактный
Honda NC 700X,2013,Турэндуро,Барнаул,600000,700,27000,бензин,4-тактный
Racer Caiman RC250XZR-X,2024,Классический мотоцикл,Новосибирск,190000,250,4200,бензин,4-тактный
Regulmoto ATHLETE PRO 4 valves 6 Gear,2024,Эндуро,Алдан,179999,300,1631,бензин,4-тактный
Omaks JJ250,2013,Спортивный мотоцикл,Липецк,190000,250,8000,бензин,4-тактный
Минск SCR 250,2023,Классический мотоцикл,Иркутск,170000,223,2000,бензин,4-тактный
